code,name,lat,long,tambon,amphoe,province,basin,region,left_bank,right_bank,ground_level,rid_critical_level
SKE003,คลองพรหมโหด,13.70584,102.48166,บ้านใหม่หนองไทร,อรัญประเทศ,สระแก้ว,แม่น้ำปราจีนบุรี,ภาคตะวันออก,44.389,45.109,38.743,
YOM010,เมืองแพร่,18.13395,100.12508,ป่าแมต,เมืองแพร่,แพร่,แม่น้ำยม,ภาคเหนือ,149.518,151.215,143.435,
SKG002,เมืองอุทัยธานี,15.370840,100.044200,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,17.797,17.842,10.97,
CPY008,เมืองอ่างทอง,14.576190,100.448690,บางแก้ว,เมืองอ่างทอง,อ่างทอง,แม่น้ำเจ้าพระยา,ภาคกลาง,9.05,9.41,-1.365,
CPY017,เสนา,14.31976,100.37952,เจ้าเสด็จ,เสนา,พระนครศรีอยุธยา,แม่น้ำเจ้าพระยา,กรุงเทพและปริมณฑล,3.831,3.802,-3.016,
KWN002,วัดโบสถ์,16.99876,100.32665,วัดโบสถ์,วัดโบสถ์,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,49.229,49.435,39.581,
MUN010,เมืองศรีสะเกษ,15.11806,104.31895,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,118,122.094,109.11,
NAN010,น้ำปาด,17.79081,100.74912,บ้านฝาย,น้ำปาด,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,162.292,158.351,152.744,
NAN011,เมืองอุตรดิตถ์,17.61027,100.09961,ป่าเซ่า,เมืองอุตรดิตถ์,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,57.462,60.592,49.28,
CHM005,แม่แตง,19.12229,98.94451,สันมหาพน,แม่แตง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,336.264,336.284,329,
CHM001,สันทราย,19.009860,98.959760,แม่แฝก,สันทราย,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,323.263,322.99,312.303,
CPY010,คลองบางบาล,14.423129,100.481881,ไทรน้อย,บางบาล,พระนครศรีอยุธยา,แม่น้ำเจ้าพระยา,กรุงเทพและปริมณฑล,4.92,4.85,-2.002,
DIV001,คลองผันน้ำยม-น่าน1,17.366183,99.84370,ในเมือง,สวรรคโลก,สุโขทัย,แม่น้ำยม,ภาคเหนือ,61.504,62.326,53.43,
DIV004,คลองผันน้ำยม-น่าน4,16.67178,100.24578,งิ้วงาม,เมืองพิษณุโลก,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,43.42,43.5,34.87,
RAJ001,โพธาราม,13.6331,99.8165,เจ็ดเสมียน,โพธาราม,ราชบุรี,แม่น้ำแม่กลอง,ภาคกลาง,7.845,9.028,-2.399,
BPK003,บางน้ำเปรี้ยว,13.87032,101.14574,บางขนาก,บางน้ำเปรี้ยว,ฉะเชิงเทรา,แม่น้ำบางปะกง,ภาคตะวันออก,2.077,3.562,-9.515,
SAY002,ศรีสาคร,6.227405,101.497046,ศรีสาคร,ศรีสาคร,นราธิวาส,ภาคใต้ฝั่งตะวันออก,ภาคใต้,35.04,35.03,22.49,
BPK001,บางปะกง,13.548725,101.001545,ท่าสะอ้าน,บางปะกง,ฉะเชิงเทรา,แม่น้ำบางปะกง,ภาคตะวันออก,1.65,1.65,-12.774,
CPY007,พรหมบุรี,14.790902,100.452075,พรหมบุรี,พรหมบุรี,สิงห์บุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,10.2,11.3,-1.85,
MUN008,คูเมือง,15.43523,103.01248,ปะเคียบ,คูเมือง,บุรีรัมย์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,108.124,110.812,102.348,
THA009,เมืองสมุทรสาคร,13.585950,100.230540,ท่าจีน,เมืองสมุทรสาคร,สมุทรสาคร,แม่น้ำท่าจีน,ภาคกลาง,1.894,1.8,-7.901,
BKK018,คลองพระพิมล (ไทรน้อย),13.97395,100.31896,ไทรน้อย,ไทรน้อย,นนทบุรี,แม่น้ำในกรุงเทพและปริมณฑล,กรุงเทพและปริมณฑล,4.05,4.36,-2.04,
