station_code,station_name,latitude,longitude,tambon,amphoe,province,basin,sub_basin,left_bank_msl,right_bank_msl,ground_level_msl
TBW014,สะพานข้ามคลองเกรียงไกร,15.843174,100.21149,บางเคียน,ชุมแสง,นครสวรรค์,น่าน,แม่น้ำน่านตอนล่างส่วนที่ 2,25.111,25.111,17.318
TBW017,สะพานข้ามลำปะเทีย,14.617069,102.90032,อีสานเขต,เฉลิมพระเกียรติ,บุรีรัมย์,มูล,ลำปะเทีย,183.338,182.79,180.701
TBW018,อ่างเก็บน้ำคูขาด,14.5599165,102.951485,ประทัดบุ,ประโคนชัย,บุรีรัมย์,มูล,ลำชี,,,
TBW021,สะพานมิตรภาพรับร่อ-หินแก้ว,10.607504,99.0954,รับร่อ,ท่าแซะ,ชุมพร,ภาคใต้ฝั่งตะวันออกตอนบน,คลองท่าตะเภา ( ลุ่มน้ำสาขา ),15.671,16.701,6.483
TBW022,สะพานแม่ฟ้าหลวง,19.92199,99.818275,รอบเวียง,เมืองเชียงราย,เชียงราย,โขงเหนือ,น้ำแม่กกตอนล่างส่วนที่ 2,394.613,392.258,388.479
TBW023,คลองแม่พุง,19.566578,99.98419,ป่าแงะ,ป่าแดด,เชียงราย,โขงเหนือ,แม่น้ำพุง,384.427,385.843,379.367
TBW024,สะพานอิงอุดม,20.196386,100.44175,ศรีดอนชัย,เชียงของ,เชียงราย,โขงเหนือ,แม่น้ำอิงตอนล่าง,349.28,349.69,335.379
TBW025,คลองปาว,16.259249,103.69044,เหล่าอ้อย,ร่องคำ,กาฬสินธุ์,ชี,ลำปาวตอนล่าง,134.124,133.249,125.276
TBW026,ห้วยยัง,16.604437,103.96215,ไค้นุ่น,ห้วยผึ้ง,กาฬสินธุ์,ชี,ลำน้ำยัง,162.184,162.953,155.151
TBW027,ลำน้ำอูน,17.322718,103.97924,สว่าง,พรรณานิคม,สกลนคร,โขงตะวันออกเฉียงเหนือ,ห้วยน้ำอูน,154.846,157.343,148.233
TBW028,บ้านโพธิ์ชัยทอง,17.599695,103.98087,อากาศ,อากาศอำนวย,สกลนคร,โขงตะวันออกเฉียงเหนือ,ห้วยน้ำยาม,152.09,150.486,142.917
TBW029,ลำน้ำยัง,16.320541,104.02246,แวง,โพนทอง,ร้อยเอ็ด,ชี,ลำน้ำยัง,142.177,144.318,132
TBW030,ลำน้ำพุง,16.996597,104.17364,เต่างอย,เต่างอย,สกลนคร,โขงตะวันออกเฉียงเหนือ,น้ำพุง,175.894,175.646,167.025
TBW032,ลำน้ำก่ำ,17.030687,104.41481,หนองบ่อ,นาแก,นครพนม,โขงตะวันออกเฉียงเหนือ,ห้วยน้ำก่ำ,152.375,154.547,142.336
TBW033,ลำเซบาย,16.195433,104.52568,สวาท,เลิงนกทา,ยโสธร,มูล,ลำเซบายส่วนที่ 1,146.637,144.663,140.269
THA001,สะพานคง-ศุข ศรีสวัสดิ์,15.225016,100.07824,หาดท่าเสา,เมืองชัยนาท,ชัยนาท,เจ้าพระยา,ที่ราบแม่น้ำเจ้าพระยา,19.785,19.418,10.034
TKP002,เมืองพังงา,8.477324,98.52832,ถ้ำน้ำผุด,เมืองพังงา,พังงา,ภาคใต้ฝั่งตะวันตก,ภาคใต้ฝั่งตะวันตกส่วนที่ 2,11.39,7.759,1.49
TNG001,ท่าสะบ้า,7.729373,99.55148,ท่าสะบ้า,วังวิเศษ,ตรัง,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง,11.517,15.136,4.912
TNG002,เมืองตรัง,7.5559034,99.57825,บางรัก,เมืองตรัง,ตรัง,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง,4.054,5.987,-3.086
TNG003,คลองนางน้อย,7.5683246,99.65097,นาโยงใต้,เมืองตรัง,ตรัง,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง,16.821,16.964,14
TNG004,ปะเหลียน,7.3719873,99.67728,ท่าพญา,ปะเหลียน,ตรัง,ภาคใต้ฝั่งตะวันตก,คลองปะเหลี่ยน,5.407,4.699,-0.766
TNG005,วังวิเศษ,7.668912,99.45939,เขาวิเศษ,วังวิเศษ,ตรัง,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง,14,14,8.592
TNG006,รัษฎา,7.9640694,99.59781,ควนเมา,รัษฎา,ตรัง,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง,25.605,24.445,17.1
TON001,ตาพระยา,14.051254,102.88536,ทัพเสด็จ,ตาพระยา,สระแก้ว,โตนเลสาป,โตนเลสาปตอนบน (ลุ่มน้ำสาขา),59.0445,58.9445,55.69
TON002,โป่งน้ำร้อน,13.036519,102.38153,หนองตาคง,โป่งน้ำร้อน,จันทบุรี,โตนเลสาป,โตนเลสาปตอนล่าง,109.859,107.255,98.12
TPI001,พุนพิน 1,9.131241,99.258835,ท่าข้าม,พุนพิน,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,แม่น้ำตาปีตอนล่างส่วนที่ 3,2.237,2.555,-5.619
TPI002,พุนพิน 2,9.085796,99.17004,หนองไทร,พุนพิน,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,คลองพุมดวงตอนล่าง,3.85,3.635,-5.27
TPI003,พุนพิน 3,8.986816,99.2113,ท่าสะท้อน,พุนพิน,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,แม่น้ำตาปีตอนล่างส่วนที่ 2,6.469,2.619,-5.203
TPI004,ท่าขนอม,9.0294285,98.969666,ท่าขนอน,คีรีรัฐนิคม,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,คลองพุมดวงตอนล่าง,12.221,11.62,0.432
TPI005,เวียงสระ,8.571073,99.25393,ทุ่งหลวง,เวียงสระ,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,แม่น้ำตาปีตอนล่างส่วนที่ 2,9.45,12.439,3.078
TPI006,พระแสง,8.5374365,99.18096,ไทรขึง,พระแสง,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,คลองอิปัน,12.75,13.288,5.51
TPI007,วิภาวดี,9.206407,98.952484,ตะกุกเหนือ,วิภาวดี,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,คลองพุมดวงตอนล่าง,33.173,34.653,20.987
TRD001,เมืองตราด,12.325195,102.50044,ห้วยแร้ง,เมืองตราด,ตราด,ชายฝั่งทะเลตะวันออก,แม่น้ำเมืองตราด,0.772,0.69,-6.744
TRD002,ห้วยแร้ง,12.369293,102.54332,ห้วยแร้ง,เมืองตราด,ตราด,ชายฝั่งทะเลตะวันออก,แม่น้ำเมืองตราด,3.558,11.076,-4.31
TRD003,วังกระแจะ,12.262444,102.52677,วังกระแจะ,เมืองตราด,ตราด,ชายฝั่งทะเลตะวันออก,แม่น้ำเมืองตราด,1.23,1.49,-5.51
TRD004,บางพระ,12.238075,102.50981,บางพระ,เมืองตราด,ตราด,ชายฝั่งทะเลตะวันออก,แม่น้ำเมืองตราด,1.244,2.454,-1.75
VLGE12,นครป่าหมาก,16.623346,100.36923,นครป่าหมาก,บางกระทุ่ม,พิษณุโลก,น่าน,แม่น้ำวังทอง,38.627,38.93,32.864
VLGE13,ชุมแสงสงคราม,16.858543,100.05964,ชุมแสงสงคราม,บางระกำ,พิษณุโลก,ยม,แม่น้ำยมตอนล่างส่วนที่ 4,40.536,43.361,32.365
VLGE16,ชุมชนลีเล็ด,9.191749,99.25393,ลีเล็ด,พุนพิน,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,แม่น้ำตาปีตอนล่างส่วนที่ 3,1.988,2.367,-2.843
VLGE26,ชุมชนประแส,12.716431,101.7041,ปากน้ำกระแส,แกลง,ระยอง,ชายฝั่งทะเลตะวันออก,แม่น้ำประแส,,,
VLGE29,ชุมชนบ้านท่าด่าน,6.8347178,101.20043,ดอนรัก,หนองจิก,ปัตตานี,ภาคใต้ฝั่งตะวันออกตอนล่าง,ภาคใต้ฝั่งตะวันออกตอนล่างส่วนที่ 2,1.17,1.147,-12.513
VLGE36,ชุมชนห้วยไร่,17.885788,100.041565,ห้วยไร่,เด่นชัย,แพร่,ยม,แม่น้ำยมตอนกลางส่วนที่ 2,,,
VLGE40,บ้านทับคริสต์,8.725806,98.821014,คลองชะอุ่น,พนม,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออกตอนบน,คลองสก,,,
VLGE41,ชุมชนบ้านควน 1,6.5769,101.169525,พร่อน,เมืองยะลา,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง,,,
VLGE42,ชุมชนบ้านควน 2,6.5763373,101.199104,พร่อน,เมืองยะลา,ยะลา,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานีตอนล่าง,,,
VLGE43,ชุมชนจุมจัง,16.43071,104.07318,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,ชี,ลำน้ำยัง,,,
VLGE47,วัดบางแตน,13.902393,101.16799,บางแตน,บ้านสร้าง,ปราจีนบุรี,บางปะกง,แม่น้ำปราจีนบุรีตอนล่าง,,,
WAN001,สามเงา,17.260597,99.07788,วังหมัน,สามเงา,ตาก,วัง,แม่น้ำวังตอนล่างส่วนที่ 4,142.028,141.227,129.883
WAN002,แม่พริก,17.44547,99.12866,แม่พริก,แม่พริก,ลำปาง,วัง,แม่น้ำวังตอนล่างส่วนที่ 2,154.891,155.346,144.593
WAN003,เถิน,17.751686,99.23068,แม่ถอด,เถิน,ลำปาง,วัง,แม่น้ำวังตอนล่างส่วนที่ 2,178.681,178.49,168.964
WAN004,เกาะคา,18.159119,99.38409,วังพร้าว,เกาะคา,ลำปาง,วัง,แม่น้ำวังตอนกลางส่วนที่ 2,214.45,214.772,209.304
WAN005,เมืองลำปาง,18.342989,99.53712,ต้นธงชัย,เมืองลำปาง,ลำปาง,วัง,แม่น้ำวังตอนกลางส่วนที่ 1,237.843,238.297,231.189
WEI011,เหนือฝายยางกะฮาด,15.639149,102.039345,กะฮาด,เนินสง่า,ชัยภูมิ,ชี,ลำน้ำชีส่วนที่ 2/2,,,
